Date,Block_ID,TRT_ID,Plot_ID,Mean,Std Dev,Min,Max,Q1 (25%),Q2 (50%),Q3 (75%),Q4 (100%)
2024-06-17,1,15,2502,0.050304715,0.008704112,0.043137256,0.08235294,0.0470588244497776,0.0470588244497776,0.0470588244497776,0.08235294371843338
2024-06-17,4,27,204,0.10898834,0.05177299,0.05490196,0.28627452,0.07058823853731155,0.0941176488995552,0.11372549086809158,0.2862745225429535
2024-06-17,4,30,206,0.1020953,0.04467034,0.043137256,0.24705882,0.0784313753247261,0.0941176488995552,0.11372549086809158,0.24705882370471954
2024-06-17,4,2,205,0.10068549,0.038922854,0.05882353,0.24705882,0.07450980693101883,0.0941176488995552,0.11372549086809158,0.24705882370471954
2024-06-17,2,14,203,0.25067303,0.038837995,0.12941177,0.32156864,0.24705882370471954,0.250980406999588,0.26274511218070984,0.32156863808631897
2024-06-17,2,26,202,0.2921042,0.04409941,0.003921569,0.39607844,0.26274511218070984,0.27843138575553894,0.3137255012989044,0.3960784375667572
2024-06-17,2,1,201,0.14670923,0.08671228,0.003921569,0.41960785,0.10588235408067703,0.11372549086809158,0.12941177189350128,0.41960784792900085
2024-06-17,2,5,301,0.28703246,0.031763956,0.105882354,0.32156864,0.27843138575553894,0.3019607961177826,0.3019607961177826,0.32156863808631897
2024-06-17,2,20,302,0.2960352,0.012631395,0.27058825,0.3137255,0.2862745225429535,0.29411765933036804,0.30980393290519714,0.3137255012989044
2024-06-17,2,10,303,0.25129804,0.0058890493,0.23921569,0.27058825,0.24705882370471954,0.250980406999588,0.2549019753932953,0.2705882489681244
2024-06-17,4,4,304,0.077124186,0.015730305,0.05490196,0.11372549,0.062745101749897,0.07450980693101883,0.08627451211214066,0.11372549086809158
2024-06-17,4,19,305,0.09126948,0.01598545,0.0627451,0.12941177,0.08235294371843338,0.08627451211214066,0.10588235408067703,0.12941177189350128
2024-06-17,4,21,306,0.15424837,0.059485022,0.07058824,0.24705882,0.11372549086809158,0.12941177189350128,0.239215686917305,0.24705882370471954
2024-06-17,4,28,406,0.1243984,0.057826787,0.0627451,0.24313726,0.08235294371843338,0.10588235408067703,0.13333334028720856,0.24313725531101227
2024-06-17,4,13,405,0.07697606,0.007821959,0.0627451,0.105882354,0.07058823853731155,0.07450980693101883,0.08627451211214066,0.10588235408067703
2024-06-17,4,15,404,0.079926334,0.015612153,0.05490196,0.11372549,0.06372549384832382,0.08235294371843338,0.08627451211214066,0.11372549086809158
2024-06-17,2,25,403,0.23783015,0.033396717,0.11372549,0.2627451,0.239215686917305,0.24705882370471954,0.250980406999588,0.26274511218070984
2024-06-17,2,12,402,0.2839808,0.012585361,0.2627451,0.30980393,0.27843138575553894,0.2862745225429535,0.29411765933036804,0.30980393290519714
2024-06-17,2,32,401,0.31693596,0.053780388,0.003921569,0.39607844,0.29411765933036804,0.3137255012989044,0.33725491166114807,0.3960784375667572
2024-06-17,4,8,506,0.08691291,0.016633619,0.05882353,0.13333334,0.07450980693101883,0.08235294371843338,0.0941176488995552,0.13333334028720856
